run_name,train_runtime
run_22_lr2e-05_schedlinear_wd0.001_epochs3,43.6647
run_16_lr5e-05_schedcosine_wd0.0001_epochs3,43.0487
run_34_lr2e-05_schedcosine_wd0.0001_epochs3,183.7462
run_19_lr2e-05_schedlinear_wd0.01_epochs3,43.0753
run_2_lr5e-05_schedlinear_wd0.01_epochs5,88.5353
run_3_lr5e-05_schedlinear_wd0.01_epochs10,203.2437
run_35_lr2e-05_schedcosine_wd0.0001_epochs5,159.9055
run_45_lr1e-05_schedlinear_wd0.0001_epochs10,212.2687
run_28_lr2e-05_schedcosine_wd0.01_epochs3,274.0669
run_4_lr5e-05_schedlinear_wd0.001_epochs3,68.484
run_50_lr1e-05_schedcosine_wd0.001_epochs5,85.8433
run_39_lr1e-05_schedlinear_wd0.01_epochs10,255.2738
run_30_lr2e-05_schedcosine_wd0.01_epochs10,124.3084
run_7_lr5e-05_schedlinear_wd0.0001_epochs3,67.2296
run_17_lr5e-05_schedcosine_wd0.0001_epochs5,69.6342
run_26_lr2e-05_schedlinear_wd0.0001_epochs5,64.1079
run_14_lr5e-05_schedcosine_wd0.001_epochs5,84.9004
run_13_lr5e-05_schedcosine_wd0.001_epochs3,62.7053
run_23_lr2e-05_schedlinear_wd0.001_epochs5,65.6246
run_5_lr5e-05_schedlinear_wd0.001_epochs5,81.4074
run_12_lr5e-05_schedcosine_wd0.01_epochs10,135.1527
run_21_lr2e-05_schedlinear_wd0.01_epochs10,119.0663
run_41_lr1e-05_schedlinear_wd0.001_epochs5,107.9382
run_31_lr2e-05_schedcosine_wd0.001_epochs3,47.6078
run_33_lr2e-05_schedcosine_wd0.001_epochs10,128.1249
run_46_lr1e-05_schedcosine_wd0.01_epochs3,106.2368
run_9_lr5e-05_schedlinear_wd0.0001_epochs10,144.1667
run_15_lr5e-05_schedcosine_wd0.001_epochs10,122.7627
run_32_lr2e-05_schedcosine_wd0.001_epochs5,237.4704
run_25_lr2e-05_schedlinear_wd0.0001_epochs3,49.3512
run_37_lr1e-05_schedlinear_wd0.01_epochs3,155.9367
run_44_lr1e-05_schedlinear_wd0.0001_epochs5,148.7948
run_36_lr2e-05_schedcosine_wd0.0001_epochs10,168.4151
run_10_lr5e-05_schedcosine_wd0.01_epochs3,58.8443
run_42_lr1e-05_schedlinear_wd0.001_epochs10,222.6492
run_43_lr1e-05_schedlinear_wd0.0001_epochs3,112.2718
run_20_lr2e-05_schedlinear_wd0.01_epochs5,65.3047
run_40_lr1e-05_schedlinear_wd0.001_epochs3,74.7623
run_18_lr5e-05_schedcosine_wd0.0001_epochs10,121.2089
run_24_lr2e-05_schedlinear_wd0.001_epochs10,118.2839
run_27_lr2e-05_schedlinear_wd0.0001_epochs10,296.7007
run_1_lr5e-05_schedlinear_wd0.01_epochs3,96.7871
run_29_lr2e-05_schedcosine_wd0.01_epochs5,225.7685
run_6_lr5e-05_schedlinear_wd0.001_epochs10,134.4491
run_49_lr1e-05_schedcosine_wd0.001_epochs3,80.0838
run_38_lr1e-05_schedlinear_wd0.01_epochs5,174.7838
run_8_lr5e-05_schedlinear_wd0.0001_epochs5,75.015
run_48_lr1e-05_schedcosine_wd0.01_epochs10,128.9026
run_11_lr5e-05_schedcosine_wd0.01_epochs5,81.6258
run_47_lr1e-05_schedcosine_wd0.01_epochs5,99.2076

Tempo medio di addestramento: 122.37 secondi
