run_name,train_runtime
run_3_facebookopt350_lr5e-05_schedlinear_wd0.01_epochs10,297.9435
run_13_facebookopt350_lr5e-05_schedcosine_wd0.001_epochs3,154.4671
run_19_facebookopt350_lr2e-05_schedlinear_wd0.01_epochs3,140.7564
run_4_facebookopt350_lr5e-05_schedlinear_wd0.001_epochs3,200.1686
run_25_facebookopt350_lr2e-05_schedlinear_wd0.0001_epochs3,131.1694
run_12_facebookopt350_lr5e-05_schedcosine_wd0.01_epochs10,332.8426
run_18_facebookopt350_lr5e-05_schedcosine_wd0.0001_epochs10,325.287
run_16_facebookopt350_lr5e-05_schedcosine_wd0.0001_epochs3,163.4347
run_10_facebookopt350_lr5e-05_schedcosine_wd0.01_epochs3,166.847
run_23_facebookopt350_lr2e-05_schedlinear_wd0.001_epochs5,180.4609
run_24_facebookopt350_lr2e-05_schedlinear_wd0.001_epochs10,318.9691
run_21_facebookopt350_lr2e-05_schedlinear_wd0.01_epochs10,357.8936
run_1_facebookopt350_lr5e-05_schedlinear_wd0.01_epochs3,230.5863
run_5_facebookopt350_lr5e-05_schedlinear_wd0.001_epochs5,257.9435
run_7_facebookopt350_lr5e-05_schedlinear_wd0.0001_epochs3,124.0962
run_8_facebookopt350_lr5e-05_schedlinear_wd0.0001_epochs5,180.472
run_14_facebookopt350_lr5e-05_schedcosine_wd0.001_epochs5,204.4368
run_17_facebookopt350_lr5e-05_schedcosine_wd0.0001_epochs5,247.2629
run_11_facebookopt350_lr5e-05_schedcosine_wd0.01_epochs5,207.2648
run_6_facebookopt350_lr5e-05_schedlinear_wd0.001_epochs10,423.984
run_9_facebookopt350_lr5e-05_schedlinear_wd0.0001_epochs10,342.3708
run_2_facebookopt350_lr5e-05_schedlinear_wd0.01_epochs5,256.9521
run_15_facebookopt350_lr5e-05_schedcosine_wd0.001_epochs10,335.4918
run_22_facebookopt350_lr2e-05_schedlinear_wd0.001_epochs3,122.0605
run_20_facebookopt350_lr2e-05_schedlinear_wd0.01_epochs5,250.2295

Tempo medio di addestramento: 238.14 secondi
