run_name,train_runtime
run_15_r16_alpha32_lr5e-05_optpaged_adamw_8bit_ep10,6195.6161
run_2_r8_alpha16_lr5e-05_optpaged_adamw_8bit_ep3,1859.935
run_3_r8_alpha16_lr5e-05_optpaged_adamw_8bit_ep10,6201.8925
run_21_r16_alpha32_lr1e-05_optpaged_adamw_8bit_ep3,1860.3019
run_12_r8_alpha16_lr1e-05_optpaged_adamw_8bit_ep10,6201.2481
run_17_r16_alpha32_lr3e-05_optpaged_adamw_8bit_ep3,1860.4411
run_5_r8_alpha16_lr3e-05_optpaged_adamw_8bit_ep3,1861.4695
run_7_r8_alpha16_lr3e-05_optpaged_adamw_8bit_ep10,6205.3474
run_13_r16_alpha32_lr5e-05_optpaged_adamw_8bit_ep3,1859.2963
run_6_r8_alpha16_lr3e-05_optpaged_adamw_8bit_ep3,1861.0304
run_1_r8_alpha16_lr5e-05_optpaged_adamw_8bit_ep3,1859.5338
run_19_r16_alpha32_lr3e-05_optpaged_adamw_8bit_ep10,6199.217
run_10_r8_alpha16_lr1e-05_optpaged_adamw_8bit_ep3,1861.3887
run_14_r16_alpha32_lr5e-05_optpaged_adamw_8bit_ep3,1860.1553
run_16_r16_alpha32_lr5e-05_optpaged_adamw_8bit_ep10,6201.9416
run_9_r8_alpha16_lr1e-05_optpaged_adamw_8bit_ep3,1861.3733
run_4_r8_alpha16_lr5e-05_optpaged_adamw_8bit_ep10,6201.3261
run_20_r16_alpha32_lr3e-05_optpaged_adamw_8bit_ep10,6202.8982
run_18_r16_alpha32_lr3e-05_optpaged_adamw_8bit_ep3,1859.9044
run_22_r16_alpha32_lr1e-05_optpaged_adamw_8bit_ep3,1860.0378
run_11_r8_alpha16_lr1e-05_optpaged_adamw_8bit_ep10,6202.161
run_8_r8_alpha16_lr3e-05_optpaged_adamw_8bit_ep10,6203.6815

Tempo medio di addestramento: 3833.65 secondi
